File_path,ExecutableType,difficulty,total,Estimation
StagingToEDW_ReportProfile,Microsoft.Package,0,1,0
StagingToEDW_ReportProfile,Microsoft.ExecuteSQLTask,1,6,6
StagingToEDW_ReportProfile,Microsoft.Pipeline,2,3,6
StagingToEDW_ReportMeasure,Microsoft.Package,0,1,0
StagingToEDW_ReportMeasure,Microsoft.ExecuteSQLTask,1,4,4
StagingToEDW_ReportMeasure,Microsoft.Pipeline,2,5,10
StagingToEDW_OneTimeDimMartAccountSubAccount,Microsoft.Package,0,1,0
StagingToEDW_OneTimeDimMartAccountSubAccount,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_OneTimeDimMartAccountSubAccount,Microsoft.Pipeline,2,3,6
StagingToEDW_MartToEDW_DimMartCostCenter_IXV,Microsoft.Package,0,1,0
StagingToEDW_MartToEDW_DimMartCostCenter_IXV,STOCK:SEQUENCE,0,3,0
StagingToEDW_MartToEDW_DimMartCostCenter_IXV,Microsoft.ExecutePackageTask,3,1,3
StagingToEDW_MartToEDW_DimMartCostCenter_IXV,Microsoft.ExecuteSQLTask,1,17,17
StagingToEDW_MartToEDW_CostCenter_OneTimeLoadforCompNonComp,Microsoft.Package,0,1,0
StagingToEDW_MartToEDW_CostCenter_OneTimeLoadforCompNonComp,STOCK:SEQUENCE,0,3,0
StagingToEDW_MartToEDW_CostCenter_OneTimeLoadforCompNonComp,Microsoft.ExecuteSQLTask,1,20,20
StagingToEDW_MartToEDW_CostCenter_OneTimeLoadforCompNonComp,Microsoft.Pipeline,2,21,42
StagingToEDW_FactTierAssignment,Microsoft.Package,0,1,0
StagingToEDW_FactTierAssignment,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactTierAssignment,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactSessionEnrollment,Microsoft.Package,0,1,0
StagingToEDW_FactSessionEnrollment,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactSessionEnrollment,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactProgramDetail,Microsoft.Package,0,1,0
StagingToEDW_FactProgramDetail,Microsoft.ExecuteSQLTask,1,5,5
StagingToEDW_FactProgramDetail,Microsoft.Pipeline,2,6,12
StagingToEDW_FactPersonSpecialInfo,Microsoft.Package,0,1,0
StagingToEDW_FactPersonSpecialInfo,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactPersonSpecialInfo,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactPaymentApplied,Microsoft.Package,0,1,0
StagingToEDW_FactPaymentApplied,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactPaymentApplied,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactPayment,Microsoft.Package,0,1,0
StagingToEDW_FactPayment,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactPayment,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactPartnerVerifiedSponsor,Microsoft.Package,0,1,0
StagingToEDW_FactPartnerVerifiedSponsor,Microsoft.ExecuteSQLTask,1,8,8
StagingToEDW_FactPartnerVerifiedSponsor,Microsoft.Pipeline,2,6,12
StagingToEDW_FactNetRevenuePRO,Microsoft.Package,0,1,0
StagingToEDW_FactNetRevenuePRO,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactNetRevenuePRO,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactNetRevenueHOR,Microsoft.Package,0,1,0
StagingToEDW_FactNetRevenueHOR,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactNetRevenueHOR,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactNetRevenueAcquired,Microsoft.Package,0,1,0
StagingToEDW_FactNetRevenueAcquired,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactNetRevenueAcquired,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactNetRevenue,Microsoft.Package,0,1,0
StagingToEDW_FactNetRevenue,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactNetRevenue,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactLifecycleStatusSnapshot,Microsoft.Package,0,1,0
StagingToEDW_FactLifecycleStatusSnapshot,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactLifecycleStatusSnapshot,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactLeadPipeline,Microsoft.Package,0,1,0
StagingToEDW_FactLeadPipeline,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactLeadPipeline,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactLeadEvent,Microsoft.Package,0,1,0
StagingToEDW_FactLeadEvent,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactLeadEvent,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactLaborSalary,Microsoft.Package,0,1,0
StagingToEDW_FactLaborSalary,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactLaborSalary,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactLaborHourTargetPRO,Microsoft.Package,0,1,0
StagingToEDW_FactLaborHourTargetPRO,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactLaborHourTargetPRO,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactLaborHourTargetLegacy,Microsoft.Package,0,1,0
StagingToEDW_FactLaborHourTargetLegacy,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactLaborHourTargetLegacy,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactLaborHourTarget,Microsoft.Package,0,1,0
StagingToEDW_FactLaborHourTarget,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactLaborHourTarget,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactLaborHourActual,Microsoft.Package,0,1,0
StagingToEDW_FactLaborHourActual,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactLaborHourActual,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactLaborHourAcquired,Microsoft.Package,0,1,0
StagingToEDW_FactLaborHourAcquired,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactLaborHourAcquired,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactGLBalancePlanAllocation,Microsoft.Package,0,1,0
StagingToEDW_FactGLBalancePlanAllocation,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactGLBalancePlanAllocation,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactGLBalance,Microsoft.Package,0,1,0
StagingToEDW_FactGLBalance,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactGLBalance,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactFTESnapshotPRO,Microsoft.Package,0,1,0
StagingToEDW_FactFTESnapshotPRO,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactFTESnapshotPRO,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactFTESnapshotCSS,Microsoft.Package,0,1,0
StagingToEDW_FactFTESnapshotCSS,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactFTESnapshotCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactFTESnapshotAcquired,Microsoft.Package,0,1,0
StagingToEDW_FactFTESnapshotAcquired,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactFTESnapshotAcquired,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactFTESnapshot,Microsoft.Package,0,1,0
StagingToEDW_FactFTESnapshot,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactFTESnapshot,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactEmployeeQualification,Microsoft.Package,0,1,0
StagingToEDW_FactEmployeeQualification,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactEmployeeQualification,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactEmployeePerformance,Microsoft.Package,0,1,0
StagingToEDW_FactEmployeePerformance,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactEmployeePerformance,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactEmployeePayRate,Microsoft.Package,0,1,0
StagingToEDW_FactEmployeePayRate,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactEmployeePayRate,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactEmployeeLeave,Microsoft.Package,0,1,0
StagingToEDW_FactEmployeeLeave,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactEmployeeLeave,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactEmployeeCompliance,Microsoft.Package,0,1,0
StagingToEDW_FactEmployeeCompliance,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactEmployeeCompliance,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactEmployeeAssignment,Microsoft.Package,0,1,0
StagingToEDW_FactEmployeeAssignment,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactEmployeeAssignment,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactEmployeeAssessment,Microsoft.Package,0,1,0
StagingToEDW_FactEmployeeAssessment,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactEmployeeAssessment,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactCenterStatSnapshot,Microsoft.Package,0,1,0
StagingToEDW_FactCenterStatSnapshot,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactCenterStatSnapshot,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactBilling,Microsoft.Package,0,1,0
StagingToEDW_FactBilling,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactBilling,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactAdjustment,Microsoft.Package,0,1,0
StagingToEDW_FactAdjustment,STOCK:SEQUENCE,0,1,0
StagingToEDW_FactAdjustment,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_FactARBalanceSnapshot,Microsoft.Package,0,1,0
StagingToEDW_FactARBalanceSnapshot,STOCK:SEQUENCE,0,3,0
StagingToEDW_FactARBalanceSnapshot,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_DimWebCampaign,Microsoft.Package,0,1,0
StagingToEDW_DimWebCampaign,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimWebCampaign,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimTuitionAssistanceProvider,Microsoft.Package,0,1,0
StagingToEDW_DimTuitionAssistanceProvider,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimTuitionAssistanceProvider,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimTimeCalculation,Microsoft.Package,0,1,0
StagingToEDW_DimTimeCalculation,Microsoft.ExecuteSQLTask,1,3,3
StagingToEDW_DimTier,Microsoft.Package,0,1,0
StagingToEDW_DimTier,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimTier,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimStudent,Microsoft.Package,0,1,0
StagingToEDW_DimStudent,STOCK:SEQUENCE,0,2,0
StagingToEDW_DimStudent,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimSponsor,Microsoft.Package,0,1,0
StagingToEDW_DimSponsor,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimSponsor,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimSpecialInfo,Microsoft.Package,0,1,0
StagingToEDW_DimSpecialInfo,STOCK:SEQUENCE,0,1,0
StagingToEDW_DimSpecialInfo,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_DimSession,Microsoft.Package,0,1,0
