File_path,store_procedure_name
StagingToEDW_FactFTESnapshotCSS,spCSS_BatchLoad_StagingToEDW_FactFTESnapshot
StagingToEDW_FactFTESnapshotPRO,spCambridge_BatchLoad_StagingToEDW_FactFTESnapshot
StagingToEDW_FactGLBalance,spGL_BatchLoad_StagingToEDW_FactGLBalance
StagingToEDW_FactGLBalancePlanAllocation,spMISC_BatchLoad_StagingToEDW_FactGLBalancePlanAllocation
StagingToEDW_FactLaborHourAcquired,spMISC_StagingToEDW_FactLaborHourACQ
StagingToEDW_FactLaborHourActual,spMISC_BatchLoad_StagingToEDW_FactLaborHourActual
StagingToEDW_FactLaborHourTarget,spMISC_BatchLoad_StagingToEDW_FactLaborHourTarget
StagingToEDW_FactLaborHourTargetLegacy,spMISC_BatchLoad_StagingToEDW_FactLaborHourTargetLegacy
StagingToEDW_FactLaborHourTargetPRO,spCambridge_BatchLoad_StagingToEDW_FactLaborHourTarget
StagingToEDW_FactLaborSalary,spMISC_BatchLoad_StagingToEDW_FactLaborSalary
StagingToEDW_FactLeadEvent,spSalesForce_StagingToEDW_FactLeadEvent
StagingToEDW_FactLeadPipeline,spSalesForce_StagingToEDW_FactLeadPipeline
StagingToEDW_FactLifecycleStatusSnapshot,spCMS_BatchLoad_StagingToEDW_FactLifecycleStatusSnapshot
StagingToEDW_FactNetRevenue,spCMS_BatchLoad_StagingToEDW_FactNetRevenue
StagingToEDW_FactNetRevenueAcquired,spMISC_StagingToEDW_FactNetRevenueACQ
StagingToEDW_FactNetRevenueHOR,spHOR_BatchLoad_StagingToEDW_FactNetRevenue
StagingToEDW_FactNetRevenuePRO,spPRO_BatchLoad_StagingToEDW_FactNetRevenue
StagingToEDW_FactPartnerVerifiedSponsor,spEndAuditLog
StagingToEDW_FactPartnerVerifiedSponsor,spBeginAuditLog
StagingToEDW_FactPayment,spCMS_BatchLoad_StagingToEDW_FactPayment
StagingToEDW_FactPaymentApplied,spCMS_StagingToEDW_FactPaymentApplied
StagingToEDW_FactPersonSpecialInfo,spHR_StagingToEDW_FactPersonSpecialInfo
StagingToEDW_FactSessionEnrollment,spCMS_StagingToEDW_FactSessionEnrollment
StagingToEDW_FactTierAssignment,spCMS_StagingToEDW_FactTierAssignment
StagingToEDW_MartToEDW_CostCenter_OneTimeLoadforCompNonComp,spBeginAuditLog
StagingToEDW_MartToEDW_CostCenter_OneTimeLoadforCompNonComp,spEndAuditLog
StagingToEDW_MartToEDW_DimMartCostCenter_IXV,spGL_StagingToEDW_DimAccountSubAccount
StagingToEDW_MartToEDW_DimMartCostCenter_IXV,spGL_StagingToEDW_DimCostCenter
StagingToEDW_OneTimeDimMartAccountSubAccount,spGL_Staging_AccountSubAccountLanding
StagingToEDW_ReportMeasure,spEndAuditLog
StagingToEDW_ReportMeasure,spBeginAuditLog
StagingToEDW_ReportProfile,spEndAuditLog
StagingToEDW_ReportProfile,spBeginAuditLog
StagingToEDW_StagingToEDWParentPackage,spGL_StagingToEDW_DimDate
StagingToEDW_StagingToEDWParentPackage,spBING_EDW_Build_DimensionStaticData
StagingToEDW_StagingToEDW_DimensionParent,spGL_StagingToEDW_DimDate
StagingToEDW_StagingToEDW_DimensionParent,spBING_EDW_Build_DimensionStaticData
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimAdjustmentReason
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimScheduleType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimTransactionCode
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimARAgencyType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimARAgencyType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimClassroom
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimClassroom
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimCreditMemoType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimDiscountType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimDiscountType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimFeeType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimFeeType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimInvoiceType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimPaymentType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCSS_StagingToEDW_DimPaymentType
StagingToEDW_StagingToEDW_Dimension_CenterManagement,spCMS_StagingToEDW_DimProgram
